Temperature,Date
49.2,20100117 10:00
52.3,20100117 11:00
54.6,20100117 12:00
56.7,20100117 13:00
58.1,20100117 14:00
59.1,20100117 15:00
59.0,20100117 16:00
58.1,20100117 17:00
55.0,20100117 18:00
51.4,20100117 19:00
49.4,20100117 20:00
48.0,20100117 21:00
47.0,20100117 22:00
45.9,20100117 23:00
45.7,20100118 00:00
44.5,20100118 01:00
44.0,20100118 02:00
43.4,20100118 03:00
43.0,20100118 04:00
42.7,20100118 05:00
42.7,20100118 06:00
42.0,20100118 07:00
42.5,20100118 08:00
46.0,20100118 09:00
49.4,20100118 10:00
52.5,20100118 11:00
54.8,20100118 12:00
57.0,20100118 13:00
58.4,20100118 14:00
59.4,20100118 15:00
59.4,20100118 16:00
58.4,20100118 17:00
55.4,20100118 18:00
51.8,20100118 19:00
49.8,20100118 20:00
48.4,20100118 21:00
47.4,20100118 22:00
46.3,20100118 23:00
46.0,20100119 00:00
44.9,20100119 01:00
44.3,20100119 02:00
43.8,20100119 03:00
43.3,20100119 04:00
42.9,20100119 05:00
43.0,20100119 06:00
42.2,20100119 07:00
42.7,20100119 08:00
46.2,20100119 09:00
49.7,20100119 10:00
52.8,20100119 11:00
55.1,20100119 12:00
57.2,20100119 13:00
58.6,20100119 14:00
59.6,20100119 15:00
59.6,20100119 16:00
58.7,20100119 17:00
55.6,20100119 18:00
52.1,20100119 19:00
50.2,20100119 20:00
48.8,20100119 21:00
47.7,20100119 22:00
46.5,20100119 23:00
46.1,20100120 00:00
45.2,20100120 01:00
44.6,20100120 02:00
44.0,20100120 03:00
43.5,20100120 04:00
43.1,20100120 05:00
43.1,20100120 06:00
42.3,20100120 07:00
42.7,20100120 08:00
46.2,20100120 09:00
49.7,20100120 10:00
52.8,20100120 11:00
55.1,20100120 12:00
57.2,20100120 13:00
58.6,20100120 14:00
59.7,20100120 15:00
59.6,20100120 16:00
58.7,20100120 17:00
55.7,20100120 18:00
52.3,20100120 19:00
50.3,20100120 20:00
48.9,20100120 21:00
47.8,20100120 22:00
46.7,20100120 23:00
46.2,20100121 00:00
45.3,20100121 01:00
44.7,20100121 02:00
44.3,20100121 03:00
43.8,20100121 04:00
43.4,20100121 05:00
43.5,20100121 06:00
42.8,20100121 07:00
43.3,20100121 08:00
46.6,20100121 09:00
50.0,20100121 10:00
53.1,20100121 11:00
55.4,20100121 12:00
57.6,20100121 13:00
59.0,20100121 14:00
60.1,20100121 15:00
60.1,20100121 16:00
59.2,20100121 17:00
56.2,20100121 18:00
52.9,20100121 19:00
51.0,20100121 20:00
49.6,20100121 21:00
48.5,20100121 22:00
47.4,20100121 23:00
46.9,20100122 00:00
46.1,20100122 01:00
45.4,20100122 02:00
44.9,20100122 03:00
44.4,20100122 04:00
44.1,20100122 05:00
44.1,20100122 06:00
43.4,20100122 07:00
43.9,20100122 08:00
47.1,20100122 09:00
50.4,20100122 10:00
53.4,20100122 11:00
55.7,20100122 12:00
57.8,20100122 13:00
59.2,20100122 14:00
60.3,20100122 15:00
60.2,20100122 16:00
59.4,20100122 17:00
56.5,20100122 18:00
53.3,20100122 19:00
51.3,20100122 20:00
50.0,20100122 21:00
48.9,20100122 22:00
47.9,20100122 23:00
47.4,20100123 00:00
46.5,20100123 01:00
45.8,20100123 02:00
45.3,20100123 03:00
44.8,20100123 04:00
44.4,20100123 05:00
44.5,20100123 06:00
43.7,20100123 07:00
44.2,20100123 08:00
47.4,20100123 09:00
50.6,20100123 10:00
53.5,20100123 11:00
55.8,20100123 12:00
57.9,20100123 13:00
59.3,20100123 14:00
60.4,20100123 15:00
60.4,20100123 16:00
59.5,20100123 17:00
56.8,20100123 18:00
53.4,20100123 19:00
51.3,20100123 20:00
50.0,20100123 21:00
48.9,20100123 22:00
47.9,20100123 23:00
47.4,20100124 00:00
46.5,20100124 01:00
45.8,20100124 02:00
45.3,20100124 03:00
44.8,20100124 04:00
44.4,20100124 05:00
44.5,20100124 06:00
43.6,20100124 07:00
43.9,20100124 08:00
47.2,20100124 09:00
50.5,20100124 10:00
53.6,20100124 11:00
55.9,20100124 12:00
58.0,20100124 13:00
59.4,20100124 14:00
60.5,20100124 15:00
60.4,20100124 16:00
59.6,20100124 17:00
56.9,20100124 18:00
53.6,20100124 19:00
51.5,20100124 20:00
50.1,20100124 21:00
49.0,20100124 22:00
48.0,20100124 23:00
47.5,20100125 00:00
46.6,20100125 01:00
45.9,20100125 02:00
45.4,20100125 03:00
44.9,20100125 04:00
44.4,20100125 05:00
44.6,20100125 06:00
43.6,20100125 07:00
43.9,20100125 08:00
47.2,20100125 09:00
50.6,20100125 10:00
53.7,20100125 11:00
56.0,20100125 12:00
58.0,20100125 13:00
59.6,20100125 14:00
60.6,20100125 15:00
60.6,20100125 16:00
59.7,20100125 17:00
57.1,20100125 18:00
53.9,20100125 19:00
51.7,20100125 20:00
50.3,20100125 21:00
49.2,20100125 22:00
48.3,20100125 23:00
47.7,20100126 00:00
46.8,20100126 01:00
46.1,20100126 02:00
45.5,20100126 03:00
45.0,20100126 04:00
44.5,20100126 05:00
44.6,20100126 06:00
43.5,20100126 07:00
43.9,20100126 08:00
47.3,20100126 09:00
50.8,20100126 10:00
53.9,20100126 11:00
56.2,20100126 12:00
58.3,20100126 13:00
59.8,20100126 14:00
60.9,20100126 15:00
60.9,20100126 16:00
60.1,20100126 17:00
57.4,20100126 18:00
54.0,20100126 19:00
51.8,20100126 20:00
50.3,20100126 21:00
49.2,20100126 22:00
48.3,20100126 23:00
47.7,20100127 00:00
46.8,20100127 01:00
46.0,20100127 02:00
45.5,20100127 03:00
44.8,20100127 04:00
44.4,20100127 05:00
44.5,20100127 06:00
43.5,20100127 07:00
44.0,20100127 08:00
47.4,20100127 09:00
50.9,20100127 10:00
54.0,20100127 11:00
56.3,20100127 12:00
58.4,20100127 13:00
59.9,20100127 14:00
60.9,20100127 15:00
60.9,20100127 16:00
60.1,20100127 17:00
57.5,20100127 18:00
54.0,20100127 19:00
51.9,20100127 20:00
50.4,20100127 21:00
49.3,20100127 22:00
48.4,20100127 23:00
47.8,20100128 00:00
46.9,20100128 01:00
46.2,20100128 02:00
45.6,20100128 03:00
45.0,20100128 04:00
44.5,20100128 05:00
44.5,20100128 06:00
43.6,20100128 07:00
44.1,20100128 08:00
47.5,20100128 09:00
51.0,20100128 10:00
54.1,20100128 11:00
56.4,20100128 12:00
58.5,20100128 13:00
59.9,20100128 14:00
60.9,20100128 15:00
61.0,20100128 16:00
60.1,20100128 17:00
57.6,20100128 18:00
54.1,20100128 19:00
51.8,20100128 20:00
50.5,20100128 21:00
49.3,20100128 22:00
48.4,20100128 23:00
47.9,20100129 00:00
47.0,20100129 01:00
46.3,20100129 02:00
45.7,20100129 03:00
45.1,20100129 04:00
44.7,20100129 05:00
44.8,20100129 06:00
43.8,20100129 07:00
44.3,20100129 08:00
47.6,20100129 09:00
51.0,20100129 10:00
54.1,20100129 11:00
56.3,20100129 12:00
58.3,20100129 13:00
59.8,20100129 14:00
60.7,20100129 15:00
60.8,20100129 16:00
59.9,20100129 17:00
57.5,20100129 18:00
54.0,20100129 19:00
51.8,20100129 20:00
50.4,20100129 21:00
49.4,20100129 22:00
48.4,20100129 23:00
47.8,20100130 00:00
46.9,20100130 01:00
46.2,20100130 02:00
45.6,20100130 03:00
45.1,20100130 04:00
44.6,20100130 05:00
44.7,20100130 06:00
43.7,20100130 07:00
44.2,20100130 08:00
47.5,20100130 09:00
50.8,20100130 10:00
53.8,20100130 11:00
56.1,20100130 12:00
58.1,20100130 13:00
59.6,20100130 14:00
60.6,20100130 15:00
60.7,20100130 16:00
59.9,20100130 17:00
57.5,20100130 18:00
54.0,20100130 19:00
51.8,20100130 20:00
50.4,20100130 21:00
49.3,20100130 22:00
48.3,20100130 23:00
47.8,20100131 00:00
46.8,20100131 01:00
46.1,20100131 02:00
45.5,20100131 03:00
45.0,20100131 04:00
44.5,20100131 05:00
44.7,20100131 06:00
43.7,20100131 07:00
44.2,20100131 08:00
47.5,20100131 09:00
50.8,20100131 10:00
54.0,20100131 11:00
56.2,20100131 12:00
58.2,20100131 13:00
59.8,20100131 14:00
60.7,20100131 15:00
60.9,20100131 16:00
60.0,20100131 17:00
57.7,20100131 18:00
54.2,20100131 19:00
51.9,20100131 20:00
50.4,20100131 21:00
49.3,20100131 22:00
48.2,20100131 23:00
47.8,20100201 00:00
